	idfunctie	periode	functie	volgnummer	lokaal	id	old_idfunctie	old_id
231	569	2	tweede commies notularis	0	0	0	batfra_569	batfra_0
232	570	2	sub-Agent	0	0	0	batfra_570	batfra_0
233	571	2	commissaris directeur	0	0	0	batfra_571	batfra_0
234	572	2	employé	0	0	0	batfra_572	batfra_0
235	573	2	president der zeewerken	0	0	0	batfra_573	batfra_0
236	574	2	extraordinaris klerk ter assistentie van de Agent	0	0	0	batfra_574	batfra_0
237	575	2	commies tekenaar	0	0	0	batfra_575	batfra_0
238	576	2	lid van de waterstaat	0	0	0	batfra_576	batfra_0
239	577	2	boekhouder van de waterstaat	0	0	0	batfra_577	batfra_0
240	578	2	landschrijver	0	0	0	batfra_578	batfra_0
241	580	2	kopiist geheime stukken	0	0	0	batfra_580	batfra_0
242	581	2	charterbewaarder	0	0	0	batfra_581	batfra_0
243	582	2	landsadvocaat	0	0	0	batfra_582	batfra_0
244	583	2	commies-notularis	0	0	0	batfra_583	batfra_0
245	584	2	klerk-expediteur	0	0	0	batfra_584	batfra_0
246	585	2	eerste klerk	0	0	0	batfra_585	batfra_0
247	587	2	secretaris van de eerste Kamer	0	0	0	batfra_587	batfra_0
248	588	2	charterklerk	0	0	0	batfra_588	batfra_0
249	589	2	lands-fiscaal	0	0	0	batfra_589	batfra_0
250	591	2	secretaris van de cijfers van de Staat	0	0	0	batfra_591	batfra_0
251	592	2	hoofdcommies	0	0	0	batfra_592	batfra_0
252	593	2	commies ter ordonnantie	0	0	0	batfra_593	batfra_0
253	594	2	commissaris bij het departement van Landbouw	0	0	0	batfra_594	batfra_0
254	595	2	commissaris bij het departement van de Fabrieken	0	0	0	batfra_595	batfra_0
255	596	2	thesaurier van de Domeinen	0	0	0	batfra_596	batfra_0
256	597	2	inspecteur van de Domeinen	0	0	0	batfra_597	batfra_0
257	598	2	klerk-notularis	0	0	0	batfra_598	batfra_0
258	599	2	geheimklerk	0	0	0	batfra_599	batfra_0
259	600	2	klerk der eerste Klasse	0	0	0	batfra_600	batfra_0
260	601	2	klerk der tweede Klasse	0	0	0	batfra_601	batfra_0
261	602	2	klerk der Derde Klasse	0	0	0	batfra_602	batfra_0
262	603	2	tweede klerk	0	0	0	batfra_603	batfra_0
263	604	2	commies tot de geneeskundige Staatsregeling	0	0	0	batfra_604	batfra_0
264	605	2	chef der Politie	0	0	0	batfra_605	batfra_0
265	606	2	eerste commies notularis	0	0	0	batfra_606	batfra_0
266	607	2	tweede commies notularis	0	0	0	batfra_607	batfra_0
267	608	2	drossaard	0	0	0	batfra_608	batfra_0
268	609	2	hoofd-commissaris-inspecteur bij de Waterstaat	0	0	0	batfra_609	batfra_0
269	610	2	commissaris-inspecteur bij de Waterstaat	0	0	0	batfra_610	batfra_0
270	611	2	commies-directeur van de equipage	0	0	0	batfra_611	batfra_0
271	612	2	commies-directeur van financiën	0	0	0	batfra_612	batfra_0
272	613	2	charterkamer-commies	0	0	0	batfra_613	batfra_0
273	614	2	meesterknecht	0	0	0	batfra_614	batfra_0
274	615	2	extraordinaris klerk	0	0	0	batfra_615	batfra_0
275	616	2	adjunct secretaris der cijfers	0	0	0	batfra_616	batfra_0
276	617	2	sub-griffier	0	0	0	batfra_617	batfra_0
277	618	2	klerk bij de commies indexmaker	0	0	0	batfra_618	batfra_0
278	619	2	commies tot de zaken van de waterstaat	0	0	0	batfra_619	batfra_0
279	620	2	agendaris	0	0	0	batfra_620	batfra_0
280	621	2	chartermeester	0	0	0	batfra_621	batfra_0
281	622	2	afgevaardigd lid	0	0	0	batfra_622	batfra_0
282	623	2	directeur-generaal van de nationale rivier- en zeewerken	0	0	0	batfra_623	batfra_0
283	624	2	inspecteur van de rivieren	0	0	0	batfra_624	batfra_0
284	625	2	inspecteur van de zeehavens en zeegaten	0	0	0	batfra_625	batfra_0
285	626	2	superintendent Bureau Betaling van de Armee	0	0	0	batfra_626	batfra_0
286	627	2	directeur Bataafse Courant	0	0	0	batfra_627	batfra_0
287	628	2	commissaris van de Nationale Thesaurie	0	0	0	batfra_628	batfra_0
288	629	2	rang nog onbekend	0	0	0	batfra_629	batfra_0
289	630	2	boekhouder	0	0	0	batfra_630	batfra_0
290	631	2	tabelmaker	0	0	0	batfra_631	batfra_0
291	633	2	extraordinaris raad	0	0	0	batfra_633	batfra_0
292	634	2	kamerheer	0	0	0	batfra_634	batfra_0
293	636	2	commissaris Domeinen Nassau	0	0	0	batfra_636	batfra_0
294	637	2	commissaris-inspecteur Domeinen Nassau	0	0	0	batfra_637	batfra_0
295	638	2	commissaris Mortificatiebureau	0	0	0	batfra_638	batfra_0
296	639	2	ontvanger-generaal Domeinen	0	0	0	batfra_639	batfra_0
297	640	2	directeur Loterijen	0	0	0	batfra_640	batfra_0
298	641	2	commissaris-directeur Klein Zegel	0	0	0	batfra_641	batfra_0
299	642	2	commissaris-directeur Zegel Patent	0	0	0	batfra_642	batfra_0
300	643	2	inspecteur-generaal van de Nationale Middelen	0	0	0	batfra_643	batfra_0
301	644	2	chef bureau de traduction	0	0	0	batfra_644	batfra_0
302	647	2	chef Frans Bureau	0	0	0	batfra_647	batfra_0
303	648	2	employé Frans Bureau	0	0	0	batfra_648	batfra_0
304	650	2	secretaris-generaal in Oost-Friesland	0	0	0	batfra_650	batfra_0
305	651	2	auditeur	0	0	0	batfra_651	batfra_0
306	652	2	inspecteur	0	0	0	batfra_652	batfra_0
307	653	2	bibliothecaris-generaal	0	0	0	batfra_653	batfra_0
308	655	2	superintendent Koninklijke Courant	0	0	0	batfra_655	batfra_0
309	657	2	adjunct chef divisie	0	0	0	batfra_657	batfra_0
310	658	2	commissaris-generaal in Oost-Friesland	0	0	0	batfra_658	batfra_0
311	659	2	chef generaal secretariaat	0	0	0	batfra_659	batfra_0
312	663	2	administrateur-generaal	0	0	0	batfra_663	batfra_0
313	665	2	chef divisie artillerie en genie	0	0	0	batfra_665	batfra_0
314	666	2	directeur van het Depot van Marine	0	0	0	batfra_666	batfra_0
315	667	2	directeur van het Depot der Koloniën	0	0	0	batfra_667	batfra_0
316	668	2	chef bureau rekesten	0	0	0	batfra_668	batfra_0
317	669	2	directeur des élèves à Paris et à Rome	0	0	0	batfra_669	batfra_0
318	675	2	chef divisie	0	0	0	batfra_675	batfra_0
319	676	2	kabinetsraad	0	0	0	batfra_676	batfra_0
320	679	2	president Cohier Verponding	0	0	0	batfra_679	batfra_0
321	680	2	chef generale comptabiliteit	0	0	0	batfra_680	batfra_0
322	681	2	opperboekhouder	0	0	0	batfra_681	batfra_0
323	682	2	permanente commissaris Verificateur	0	0	0	batfra_682	batfra_0
324	683	2	eerste Kabinetssecretaris	0	0	0	batfra_683	batfra_0
325	684	2	traducteur	0	0	0	batfra_684	batfra_0
326	685	2	grootmeester der Wapenen	0	0	0	batfra_685	batfra_0
327	686	2	chef secretariaat	0	0	0	batfra_686	batfra_0
328	687	2	adjunct secretaris	0	0	0	batfra_687	batfra_0
329	688	2	commissaris-Verificateur	0	0	0	batfra_688	batfra_0
330	689	2	eerste Boekhouder	0	0	0	batfra_689	batfra_0
331	690	2	archivist en chef expeditie	0	0	0	batfra_690	batfra_0
332	691	2	chef algemene comptabiliteit	0	0	0	batfra_691	batfra_0
333	692	2	kassier	0	0	0	batfra_692	batfra_0
334	693	2	commies-generaal van de Convooien en Licenten	0	0	0	batfra_693	batfra_0
335	694	2	translateur Frans en Latijn	0	0	0	batfra_694	batfra_0
336	695	2	klerk van de cijfers	0	0	0	batfra_695	batfra_0
337	696	2	adjunct klerk van de cijfers	0	0	0	batfra_696	batfra_0
338	697	2	onderklerk	0	0	0	batfra_697	batfra_0
339	698	2	generaalmeester van de Munt	0	0	0	batfra_698	batfra_0
340	699	2	commissaris van de uitheemse dépêches	0	0	0	batfra_699	batfra_0
341	700	2	gedeputeerde	0	0	0	batfra_700	batfra_0
342	701	2	visitateur-generaal	0	0	0	batfra_701	batfra_0
343	702	2	secretaris commissie Buitenlandse Zaken	0	0	0	batfra_702	batfra_0
344	703	2	commies commissie Buitenlandse Zaken	0	0	0	batfra_703	batfra_0
345	704	2	ordinaris klerk	0	0	0	batfra_704	batfra_0
346	706	2	opzichter der gebouwen	0	0	0	batfra_706	batfra_0
347	707	2	translateur Duits	0	0	0	batfra_707	batfra_0
348	708	2	commies Buitenlandse Zaken en Agent	0	0	0	batfra_708	batfra_0
349	709	2	secretaris commissie Binnenlandse Correspondentie	0	0	0	batfra_709	batfra_0
350	710	2	klerk-indexmaker	0	0	0	batfra_710	batfra_0
351	711	2	expediteur	0	0	0	batfra_711	batfra_0
352	712	2	extraordinaris expediteur	0	0	0	batfra_712	batfra_0
353	713	2	assistant	0	0	0	batfra_713	batfra_0
354	714	2	secrétaire Conseil Général	0	0	0	batfra_714	batfra_0
