	idcollege	periode	college	volgnummerbasiscollege	basis	id	old_idcollege	old_id
307	456	2	Intermediair Bestuur over de Zaken der Koloniën en Bezittingen in Amerika en op de Kust van Guinea	0.0	0	0	batfra_456	batfra_0
308	457	2	Commissarissen van het Uitvoerend Bewind bij de Departementale Gerechtshoven	0.0	0	0	batfra_457	batfra_0
309	458	2	Nationale Rekenkamer (2)	0.0	0	0	batfra_458	batfra_0
310	459	2	Nationale Rekenkamer (3)	0.0	0	0	batfra_459	batfra_0
311	460	2	Provinciaal Bestuur van Utrecht (oktober 1796 - februari 1798)	0.0	0	0	batfra_460	batfra_0
312	196	2	Generaliteitsrekenkamer (1608-1799)	0.0	0	215	batfra_196	batfra_215
313	292	2	Hof van Holland, Zeeland en West-Friesland (1428-1802)	0.0	0	0	batfra_292	batfra_0
314	102	2	Staten-Generaal der Verenigde Nederlandse Provinciën (1588-1796)	0.0	0	112	batfra_102	batfra_112
0	1	2	Eerste Kamer der Staten-Generaal (1815-1861)	0.0	0	0	negentiende_eeuw_1	negentiende_eeuw_0
1	2	2	Vergadering van Notabelen (1814)	0.0	0	0	negentiende_eeuw_2	negentiende_eeuw_0
2	3	2	Staten-Generaal (1814-1815)	0.0	0	0	negentiende_eeuw_3	negentiende_eeuw_0
3	4	2	Tweede Kamer der Staten-Generaal (1815-1861)	0.0	0	0	negentiende_eeuw_4	negentiende_eeuw_0
4	5	2	Raad van State (1814-1861)	0.0	0	0	negentiende_eeuw_5	negentiende_eeuw_0
5	6	2	Departement van Financiën (1813-1861)	0.0	0	0	negentiende_eeuw_6	negentiende_eeuw_0
6	7	2	Departement van Justitie (1815-1861)	0.0	0	0	negentiende_eeuw_7	negentiende_eeuw_0
7	8	2	Departement van Waterstaat (1814-1815)	0.0	0	0	negentiende_eeuw_8	negentiende_eeuw_0
8	9	2	Departement van Binnenlandse Zaken (1813-1861)	0.0	0	0	negentiende_eeuw_9	negentiende_eeuw_0
9	10	2	Staatssecretarie (1813-1840)	0.0	0	0	negentiende_eeuw_10	negentiende_eeuw_0
10	12	2	Kabinet des Konings (1813-1861)	0.0	0	0	negentiende_eeuw_12	negentiende_eeuw_0
11	13	2	Departement van Buitenlandse Zaken (1813-1861)	0.0	0	0	negentiende_eeuw_13	negentiende_eeuw_0
12	14	2	Departement van Rooms-Katholieke Eredienst (1815-1861)	0.0	0	0	negentiende_eeuw_14	negentiende_eeuw_0
13	15	2	Departement van Oorlog (1813-1861)	0.0	0	0	negentiende_eeuw_15	negentiende_eeuw_0
14	16	2	Departement van Koloniën (1814-1861)	0.0	0	0	negentiende_eeuw_16	negentiende_eeuw_0
15	18	2	Provisionele Rekenkamer (1813-1814)	0.0	0	0	negentiende_eeuw_18	negentiende_eeuw_0
16	19	2	Algemene Rekenkamer (1813-1861)	0.0	0	0	negentiende_eeuw_19	negentiende_eeuw_0
17	20	2	Departement van Binnenlandse Zaken, Waterstaat en Publieke Werken (1820-1824)	0.0	0	0	negentiende_eeuw_20	negentiende_eeuw_0
18	21	2	Departement van Binnenlandse Zaken, Onderwijs en Waterstaat (1824-1825)	0.0	0	0	negentiende_eeuw_21	negentiende_eeuw_0
19	22	2	Departement van Marine (1813-1861)	0.0	0	0	negentiende_eeuw_22	negentiende_eeuw_0
20	23	2	Departement van Marine en Koloniën (1825-1841)	0.0	0	0	negentiende_eeuw_23	negentiende_eeuw_0
21	24	2	Departement van Koophandel en Koloniën (1814-1818)	0.0	0	0	negentiende_eeuw_24	negentiende_eeuw_0
22	25	2	Departement van Publiek Onderwijs, Nationale Nijverheid en Koloniën (1818-1824)	0.0	0	0	negentiende_eeuw_25	negentiende_eeuw_0
23	26	2	Departement van Nationale Nijverheid en Koloniën (1824-1833)	0.0	0	0	negentiende_eeuw_26	negentiende_eeuw_0
24	27	2	Departement van Waterstaat, Nationale Nijverheid en Koloniën (1830-1831)	0.0	0	0	negentiende_eeuw_27	negentiende_eeuw_0
25	28	2	Departement van Onderwijs, Kunsten en Wetenschappen (1815-1818)	0.0	0	0	negentiende_eeuw_28	negentiende_eeuw_0
26	29	2	Departement van Waterstaat en Publieke Werken (1815-1819)	0.0	0	0	negentiende_eeuw_29	negentiende_eeuw_0
27	30	2	Departement van Hervormde Eredienst (1815-1861)	0.0	0	0	negentiende_eeuw_30	negentiende_eeuw_0
28	31	2	Algemene Directie der Posterijen (1813-1819)	0.0	0	0	negentiende_eeuw_31	negentiende_eeuw_0
29	32	2	Hoog Gerechtshof  (1813-1838)	0.0	0	0	negentiende_eeuw_32	negentiende_eeuw_0
30	33	2	Generale Directie der Directe Belastingen en Posterijen (1819-1821)	0.0	0	0	negentiende_eeuw_33	negentiende_eeuw_0
31	34	2	Departement van Politie (1813-1818)	0.0	0	0	negentiende_eeuw_34	negentiende_eeuw_0
32	35	2	Departement van Politie in de Zuidelijke Nederlanden	0.0	0	0	negentiende_eeuw_35	negentiende_eeuw_0
33	36	2	Hoofdadministratie der Domeinen	0.0	0	0	negentiende_eeuw_36	negentiende_eeuw_0
34	37	2	Generale Directie der Indirecte Belastingen en Convooien en Licenten (1815)	0.0	0	0	negentiende_eeuw_37	negentiende_eeuw_0
